"Number.of.Times.Charted","Popularity","Tempo","Feature","Artist.Followers","Duration.ms"
7,80,129.988,1,10334543,150462
51,83,161.989,0,19085118,165820
1,75,78.452,0,19085118,196147
16,82,119.991,0,37106176,229773
10,80,129.96,1,74814,125558
70,83,165.995,0,46785561,210800
68,79,99.034,0,3816446,162547
14,76,129.062,1,2263960,244973
37,81,86.919,0,48504126,212093
1,82,92.464,1,448447,155676
3,76,98.962,0,14097410,133022
1,70,109.893,0,37106176,162147
5,81,164.032,0,37106176,214621
1,72,135.379,0,75496,176816
5,77,96.966,0,20823062,175044
1,75,113.06,0,20823062,172232
2,75,71.724,0,14097410,196946
2,77,74.861,0,22161310,339506
1,72,98.01,0,121225,177790
1,75,116.431,0,107553,172675
4,79,140.057,0,2379448,172359
2,73,89.812,0,14097410,266291
12,81,129.895,0,56308172,178154
4,81,106.196,1,1725025,218448
9,81,80.974,0,618444,147351
1,69,123.466,0,32257,183707
10,81,118,0,3553442,144349
1,76,117.904,0,727731,174936
1,70,123.038,0,169137,166000
2,72,142.009,0,20823062,223066
1,71,83.092,0,14097410,177337
1,72,125.092,0,14097410,163302
1,70,94.104,0,14097410,112579
2,70,81.446,0,14097410,306257
1,71,94.983,0,14097410,238972
1,82,140.021,0,14097410,218802
3,81,92.56,0,2230022,161385
3,78,133.028,1,3126961,177443
10,81,175.996,1,2123734,324426
7,73,158.024,0,2918229,154667
142,83,110.011,0,16112621,240133
5,81,95.007,0,6150675,195066
19,79,100.021,1,22718,289933
10,0,89.988,0,1250353,184507
31,80,79.859,0,48504126,149297
10,81,78.953,0,1275345,243773
72,82,75.801,0,280585,208687
2,76,124.036,0,6278835,165366
17,84,141.02,1,323203,278085
69,0,120.006,0,1250353,245426
1,76,129.987,0,1605329,217609
9,80,87.913,1,3126961,192348
26,83,151.947,0,5473565,154998
28,79,91.921,0,942628,170345
70,81,142.037,0,10488292,237735
1,67,129.964,1,1223734,174021
44,83,149.972,0,19085118,194621
11,79,170.089,1,14826679,197647
12,80,128.048,0,1260752,175047
10,76,167.897,1,10561047,179005
44,83,144.991,0,19085118,205485
72,83,159.966,0,19085118,240051
1,72,157.932,0,15013645,157355
12,80,97.753,0,85617,80081
1,75,80.462,0,279741,225020
1,76,95.906,0,3864419,188779
40,80,163.071,0,6278835,200221
1,75,129.06,0,6278835,165527
1,69,139.982,0,10740222,195429
8,74,188.7,0,1094731,168086
5,74,135.942,0,42227614,277592
60,0,124.011,0,1250353,199931
4,80,94.036,1,29051363,228920
5,72,144.978,0,20331923,204632
11,75,146.933,0,423237,184490
5,81,120.031,0,3553442,232048
31,79,99.999,1,6929075,213314
6,72,99.928,0,48544923,174406
1,74,135.859,0,4138951,214094
24,87,124.917,0,17719446,162803
33,81,91.066,0,100463,210463
13,79,160.984,1,1585593,196380
28,82,77.355,0,8446147,208827
23,79,145.765,0,33893352,178994
53,81,100.021,0,35340069,237520
68,84,75.023,0,29566516,166606
1,81,89.962,0,130801,182121
66,83,129.992,0,4270131,188344
1,82,72.795,0,32603394,213827
11,0,115.977,1,1250353,265240
7,83,169.977,0,20823062,202333
1,78,123.016,1,61930,152333
1,69,74.017,1,61930,242600
5,73,119.054,0,42227614,235767
14,73,163.946,1,9907270,155210
1,80,171.977,0,4271775,147876
19,79,81.112,0,42227614,214707
16,82,92.004,0,12375514,161124
18,0,110.184,0,1250353,185487
29,83,176.089,1,29051363,242573
1,73,130.033,0,42227614,231124
1,69,100.118,0,42227614,241592
1,73,95.027,0,2815928,217587
1,66,95.466,0,42227614,294419
1,72,161.032,0,42227614,243137
3,65,142.731,0,42227614,220839
1,66,115.99,0,42227614,254255
1,65,185.262,0,42227614,234516
1,66,128.03,0,42227614,225328
1,64,148.035,0,42227614,263377
1,72,90.991,0,2815928,214440
1,67,90.201,0,42227614,189496
1,63,100.023,0,42227614,200576
1,64,133.873,0,42227614,261843
25,0,100.978,1,1250353,183240
32,80,171.943,1,8758283,247308
1,65,101.934,0,42227614,208609
1,64,106.007,0,42227614,244237
2,75,94.927,1,3198705,206360
1,66,75.245,0,20338833,243992
4,71,79.936,0,1099480,207164
3,77,126.904,1,122746,194890
31,82,130.97,0,6852509,190534
12,77,169.732,1,4026643,229827
37,82,112.985,0,9778632,190306
3,74,99.757,0,48544923,158324
48,84,178.765,0,67208170,228482
15,81,95.975,0,2110870,181680
1,73,160.013,0,342930,190680
5,78,78.4,1,301217,330040
3,74,110.028,1,32279979,231387
3,71,153.96,0,48544923,153190
3,75,90.674,0,48544923,156468
13,73,145.013,0,1053324,227478
3,84,84.412,0,1560784,225280
18,78,129.972,1,10580764,198707
2,76,175.826,0,29067437,157320
2,69,89.934,0,48544923,187239
2,70,119.59,0,48544923,152796
66,80,101.085,1,17792779,200960
29,81,168.022,1,29238936,230693
2,69,101.04,0,48544923,159250
1,78,125.706,0,203555,189000
4,76,94.966,0,56327031,383037
9,73,160.013,1,342930,190680
14,79,98.013,1,9778632,192921
2,67,135.031,0,48544923,198426
12,83,186.003,1,35340069,230453
29,78,91.97,0,10510156,180520
3,77,110.013,0,435936,173227
1,66,127.138,0,48544923,186696
1,67,129.964,0,48544923,220920
1,65,122.792,0,13697048,333710
18,76,82.042,1,14831925,211130
2,73,201.025,0,13697048,271177
31,78,83.897,1,26769304,248345
9,73,170.002,0,10580764,163320
26,79,87.977,0,10580764,187427
3,80,99.112,0,713486,131272
13,76,92.028,0,2897862,202373
1,64,182.003,0,28931149,184134
1,71,122.012,0,2010879,181720
2,74,110.971,0,7408249,168649
14,77,104.957,0,20528724,165907
1,74,88.972,0,3868320,137747
38,82,90.013,1,1650912,219048
12,74,183.933,0,2786366,190218
60,82,110.962,0,8671649,237893
9,84,146.04,0,29566516,110886
46,84,116.879,0,5064200,216320
6,80,92.987,1,35340069,269187
37,82,179.798,0,6852509,213333
26,79,74.988,0,419151,219801
1,81,139.991,0,1643882,344571
38,79,130.032,0,23848461,182956
1,66,116.919,1,5831194,234852
1,0,112.602,0,1251372,211411
2,75,148.014,0,6852509,171892
1,72,140.061,0,19102888,206734
1,67,89.826,1,568711,222667
7,73,93.985,1,18306226,206587
1,72,134.041,1,2161609,187362
1,74,140.005,0,7816213,192804
25,77,103.013,0,786461,155825
26,79,124.962,1,432511,156960
23,82,93.099,0,7535054,142000
26,83,120.041,0,1027085,218107
28,82,108.045,0,3799104,185773
1,72,98.036,0,33663701,241360
2,71,115.036,0,67208170,122174
12,75,83.97,1,1453875,198493
19,74,142.592,0,2238190,126521
27,75,83.943,0,2897862,185840
61,82,116.735,0,621200,163636
53,83,159.801,0,33663701,218147
1,70,127.938,1,1453875,167867
57,79,136.041,0,15663384,201661
12,77,113.903,0,36177712,156430
53,77,147.986,0,48544923,212867
22,81,112.997,0,2722638,188387
9,83,107.989,0,83337783,258987
1,68,116.963,1,961181,195734
1,69,128.111,0,5831194,243750
21,0,139.898,0,1251372,172693
5,76,105.918,0,3689546,177500
17,76,123.066,0,1053324,156498
5,78,123.978,0,251549,227186
3,78,123.055,1,9778632,153865
7,79,124.988,0,2820477,178157
25,75,166.039,1,29238936,224187
5,80,116.965,0,67208170,167990
57,80,101.956,0,83337783,219947
32,0,179.997,0,1251372,189840
11,77,94.059,1,3134041,171215
15,77,179.984,1,26784251,200482
32,78,96.988,0,6096559,222680
7,67,150.06,0,1200248,237900
42,83,128.009,0,29566516,135090
6,82,78.998,0,83337783,281560
46,78,81.618,0,56327031,247059
2,69,119.829,0,35340069,277680
46,81,112.05,0,132855,176547
1,78,174.323,0,6478565,258773
7,83,129.953,0,29566516,95467
4,76,81.535,0,19102888,157355
3,68,135.154,0,47061119,203464
1,78,104.914,1,20528724,177801
1,80,107.949,0,35340069,213520
2,73,103.116,0,804613,169632
3,80,134.17,0,35340069,228373
26,76,110,0,15778531,223279
1,76,114.978,0,14921269,144391
4,77,170.527,0,3912138,228147
2,75,173.961,0,26784251,176970
3,72,140.02,1,444736,125143
23,77,170.062,0,35340069,198267
15,79,131.798,0,67208170,201882
49,80,126.684,0,1692635,196373
3,76,130.058,0,4794212,137984
25,76,97.054,0,149682,197587
3,70,156.013,1,197320,125720
1,76,163.924,1,1726216,214693
4,69,96.855,0,16655692,163127
12,76,77.599,0,6313514,177323
20,76,121.876,0,1248499,146523
4,76,196,0,2147875,178520
38,75,176.007,1,2127531,345241
1,73,93.985,1,18306226,206587
9,74,84.974,1,114348,182199
4,70,136.97,0,2147875,161773
2,70,163.882,0,28931149,155956
7,72,108.025,0,1053324,168906
17,77,104.181,0,17097317,213869
3,79,119.993,0,211500,180139
8,73,176.037,1,6096559,190101
7,75,171.319,0,42227614,244000
35,80,94.148,1,14073083,176960
6,75,149.992,1,19102888,158033
1,73,128.031,1,8153871,188581
4,1,160.064,1,1251372,150260
1,72,110.003,0,41551,187000
39,82,129.857,0,3916979,162399
15,75,127.97,0,23848461,194765
31,74,168.084,0,29238936,217547
13,72,133.928,0,411262,115200
1,75,69.877,0,2147875,202133
1,70,88.003,0,2147875,190680
5,73,203.903,0,2147875,210507
7,78,169.934,0,36177712,217769
10,70,94.053,1,8766508,216747
25,79,99.7,0,6852509,201600
1,75,126.019,0,2147875,216573
1,68,115.058,0,2147875,156747
10,69,168.096,0,4281787,166838
19,71,159.972,0,23848461,177813
32,80,93.995,0,31552500,172762
8,73,114.999,1,27167675,156911
2,67,100.119,0,1674348,201501
4,68,79.015,0,42227614,215627
44,80,112.022,0,724903,158571
2,66,138.023,1,14122,173913
46,82,100.015,1,31552500,214290
13,74,156.271,0,35910149,209413
39,77,94.018,0,29067437,205933
2,68,168.008,1,4281787,182977
4,74,90.494,0,5002317,193293
45,82,123.935,1,441714,168387
8,76,150.084,0,9998991,205493
5,77,84.98,1,1777797,105176
10,65,150.273,0,6931357,241107
8,63,107.682,0,1631876,262960
7,61,191.9,0,67208170,204093
7,58,67.196,0,222627,126267
7,56,119.705,0,20637,130973
7,55,94.775,0,4702232,206640
7,55,201.629,0,369548,151933
7,49,159.878,0,7869617,229640
6,49,148.837,0,239129,182067
6,54,134.009,0,1139096,117147
6,53,142.169,0,4953667,155453
6,59,161.993,0,48544923,182947
6,50,91.751,0,1251372,181267
6,51,115.412,0,4883,222533
4,51,94.736,0,3609658,227653
6,48,151.251,0,4702232,119787
5,53,146.172,1,4313100,214333
5,53,78.696,0,1634288,192160
5,51,130.503,1,359973,177480
1,63,140.028,0,4958353,164591
5,49,140.467,0,58479,135533
5,55,78.111,0,382997,272467
5,47,202.899,0,99249,220160
4,49,94.518,0,5698788,129173
4,0,151.925,0,1251372,162897
4,0,146.861,0,1251372,144080
5,42,87.101,0,1324920,202547
5,49,112.874,1,336373,155933
6,45,126.627,0,1251372,166453
4,43,140.308,0,7504724,272394
3,76,143.896,0,5002317,174960
11,72,160.061,0,1293055,186533
1,72,117.399,0,15019109,164459
3,43,128.706,0,1549216,126360
3,53,132.062,0,31161671,268521
3,46,75.248,0,17097317,170964
1,49,92.986,0,20528724,205267
2,43,147.08,0,9470311,255400
3,44,113.998,0,1298537,173560
2,47,146.035,0,5436999,200880
1,45,118.078,0,3916979,169245
1,44,93,0,4805333,156773
1,70,140.945,0,46814751,224656
1,0,102.103,0,1251372,86760
1,44,122.331,0,4702232,171093
1,47,113.401,0,353571,166147
2,66,145.916,0,42227614,229840
1,44,128.897,0,1151360,181267
1,41,84.485,1,127251,206067
1,51,46.718,1,1024868,85267
2,70,112.05,0,42227614,185320
1,0,83.506,0,1251372,148147
1,42,83.608,0,33893352,196254
1,44,130.036,0,1139096,143733
1,44,139.986,0,4224071,267600
1,42,112.986,0,2877234,239587
1,0,130.594,0,1251372,118840
1,51,81.966,0,8037861,154747
1,45,84.796,0,10606572,219653
1,41,136.471,0,1139096,135760
1,38,110.378,0,4953667,136427
1,36,174.609,0,4953667,120693
1,47,78.496,0,6931357,200467
1,44,101.529,0,359973,165667
1,60,89.918,0,3083825,268960
1,42,93.047,0,424935,231173
1,29,126.011,0,659472,149307
1,52,134.002,0,42227614,228027
1,41,137.494,0,18936929,182521
1,41,104.999,0,1564750,255307
2,67,74.952,0,42227614,245440
1,44,183.18,0,6896776,177440
1,41,179.967,0,10606572,161013
1,65,122.079,0,42227614,315147
1,66,88.856,0,42227614,260440
1,64,119.966,0,42227614,225880
1,64,107.895,0,42227614,275320
